url,views,likes,dislikes,comments,duration
https://youtu.be/5LRCQjkTqP0,222610,1144,67,30,3:42
https://youtu.be/ZNM35ezEGeM,219551,841,31,10,2:46
https://youtu.be/9G0LtYA7lwc,203566,914,38,26,2:55
https://youtu.be/CRTZxK3yEH8,199557,1069,32,22,2:32
https://youtu.be/2ORSbLAP2hY,198422,1032,40,14,1:30
https://youtu.be/qwoJ8e5gQ1M,194653,849,24,9,1:36
https://youtu.be/3d2XLlAcU6s,187610,1028,40,24,2:57
https://youtu.be/oewiZYAGujY,183456,1241,61,26,2:46
https://youtu.be/oLDjVa73B4o,180763,1525,53,32,2:25
https://youtu.be/kc_5NV5QkFI,167677,1177,40,12,1:27
https://youtu.be/2ZNH4fu4YoA,165223,953,33,15,2:14
https://youtu.be/D1-SuteQWMs,154869,1101,52,16,2:00
https://youtu.be/hfQb2B0KVs4,153685,826,17,10,1:43
https://youtu.be/xk6bJP_9vh4,144731,945,45,99,2:07
https://youtu.be/Edx0cGNBq_Q,143084,974,20,20,2:22
https://youtu.be/RcTQt_nnpbA,139740,744,31,11,3:49
https://youtu.be/JfDA604ztNw,129216,766,18,10,2:14
https://youtu.be/YoGuj76WvJI,127162,337,3,12,2:47
https://youtu.be/eSGwM7ZNPnA,120166,580,21,5,1:29
https://youtu.be/NOD6acxtpFE,114756,542,14,4,1:15
https://youtu.be/64W5De5fdts,90757,595,16,12,2:32
https://youtu.be/bVP8dzuxVkY,90706,431,16,7,2:26
https://youtu.be/wzPFKJHpNMs,84355,341,16,5,1:40
https://youtu.be/7KKsmTxazyY,73315,377,12,11,3:06
